SCHEDULED_HOUR,flights,delay_rate,avg_arrival_delay
0,167,0.16167664670658682,3.065868263473054
1,109,0.28440366972477066,10.8348623853211
2,33,0.24242424242424243,29.575757575757574
3,10,0.5,28.0
4,17,0.29411764705882354,11.588235294117647
5,745,0.17181208053691274,5.3355704697986575
6,4022,0.1852312282446544,5.837891596220786
7,3739,0.19416956405456004,5.619416956405456
8,4056,0.22781065088757396,8.061883629191321
9,2991,0.22133065864259446,7.422601136743564
10,2824,0.2354815864022663,8.42669971671388
11,2907,0.24699002407980736,8.540075679394565
12,2712,0.2688053097345133,10.447271386430678
13,2989,0.29842756774841084,13.616928738708598
14,2756,0.3439767779390421,15.470609579100145
15,2812,0.3588193456614509,17.05832147937411
16,2706,0.3617886178861789,17.101626016260163
17,3048,0.40288713910761154,21.568897637795274
18,2628,0.4509132420091324,23.617960426179604
19,2693,0.4441143705904196,24.50538432974378
20,2044,0.450587084148728,24.82191780821918
21,1531,0.44546048334421945,22.951012410189417
22,788,0.39086294416243655,18.663705583756347
23,426,0.352112676056338,17.462441314553992
