model,accuracy,precision,recall,f1,roc_auc
Logistic Regression,0.6892626397292585,0.49324324324324326,0.6872898453261601,0.5743186288283225,0.7509590024171912
Random Forest,0.7042354630294329,0.5120449678800857,0.6432414256893073,0.570193740685544,0.7502256534647481
