ORIGIN_AIRPORT,flights,delay_rate,avg_arrival_delay
ASE,80,0.7625,56.675
MAF,33,0.7575757575757576,67.21212121212122
GRK,36,0.6666666666666666,36.02777777777778
LBB,33,0.6363636363636364,47.45454545454545
MLI,34,0.5882352941176471,31.323529411764707
LFT,42,0.5714285714285714,37.285714285714285
DEN,1873,0.5670048051254671,33.544046983449014
PIA,34,0.5588235294117647,31.764705882352942
AMA,45,0.5333333333333333,53.08888888888889
DFW,2226,0.532345013477089,32.607816711590296
SGF,52,0.4807692307692308,21.98076923076923
MSN,72,0.4722222222222222,22.47222222222222
BTR,55,0.45454545454545453,43.50909090909091
FSD,53,0.4528301886792453,21.245283018867923
JAC,51,0.45098039215686275,21.11764705882353
OGG,206,0.44660194174757284,26.20873786407767
EGE,36,0.4444444444444444,18.166666666666668
CRP,54,0.4444444444444444,22.185185185185187
ABQ,192,0.4427083333333333,25.447916666666668
BZN,52,0.4423076923076923,35.44230769230769
CID,64,0.4375,19.234375
HSV,44,0.4318181818181818,23.681818181818183
JAN,68,0.4264705882352941,33.10294117647059
MKE,255,0.4235294117647059,18.525490196078433
RAP,34,0.4117647058823529,33.55882352941177
HOU,482,0.4107883817427386,18.11410788381743
GSP,59,0.4067796610169492,28.52542372881356
MOB,43,0.3953488372093023,26.837209302325583
FAR,51,0.39215686274509803,11.803921568627452
SHV,59,0.3898305084745763,20.491525423728813
FWA,31,0.3870967741935484,8.870967741935484
SBN,34,0.38235294117647056,24.029411764705884
ITO,53,0.37735849056603776,31.37735849056604
IAH,1440,0.37430555555555556,18.384027777777778
LEX,51,0.37254901960784315,21.058823529411764
DAL,497,0.3722334004024145,15.82897384305835
ORD,2325,0.370752688172043,16.66537634408602
ELP,116,0.3706896551724138,20.78448275862069
CAE,54,0.37037037037037035,27.537037037037038
PNS,73,0.3698630136986301,18.65753424657534
BHM,111,0.36936936936936937,17.576576576576578
LIH,106,0.36792452830188677,28.443396226415093
ICT,61,0.36065573770491804,23.508196721311474
GPT,39,0.358974358974359,18.641025641025642
TYS,67,0.3582089552238806,18.01492537313433
MDW,702,0.3561253561253561,13.327635327635328
GRR,90,0.35555555555555557,20.711111111111112
LIT,99,0.35353535353535354,20.90909090909091
STT,60,0.35,15.783333333333333
OAK,367,0.3460490463215259,16.626702997275203
STL,407,0.33906633906633904,11.132678132678132
LAX,1898,0.33877766069546894,16.231822971549
SJC,329,0.3343465045592705,19.480243161094226
PHX,1447,0.3282653766413269,14.689702833448514
DSM,78,0.32051282051282054,14.782051282051283
IAD,466,0.3197424892703863,14.772532188841202
VPS,44,0.3181818181818182,21.863636363636363
OMA,145,0.31724137931034485,11.158620689655173
SBP,41,0.3170731707317073,18.804878048780488
SMF,329,0.3161094224924012,13.02127659574468
PSP,128,0.3125,18.75
TUL,125,0.312,14.624
FAT,87,0.3103448275862069,16.632183908045977
HNL,432,0.3101851851851852,17.368055555555557
XNA,68,0.3088235294117647,15.441176470588236
EWR,907,0.30760749724366043,14.551267916207276
